rating,books,movies,updated,created,text
"rate 4, label FOUR","id None, metadata title THE SUN ALSO RISES, pages unknown","id 0, title end, id 0, title INCEPTION",2021-12-12T044647.210+0100,2021-12-14T022410.439+0100,Aestivus talus suscipio. Attero cohaero reprehenderit.
"rate 5, label FIVE","id None, metadata title THOSE BARREN LEAVES, THRONES, DOMINATIONS, pages unknown","id 0, title THE PRESTIGE, id 0, title end",2021-12-08T035807.101+0100,2021-12-26T183845.138+0100,Aequus despirmatio magni. Conforto depereo subito.
"rate 3, label THREE","id None, metadata title FAME IS THE SPUR, pages unknown","id 0, title end, id 0, title PLATOON",2021-12-17T122328.582+0100,2021-12-12T213535.519+0100,Atque qui ater. Viriliter necessitatibus alii.
"rate 3, label THREE","id None, metadata title THE OTHER SIDE OF SILENCE, pages unknown","id 0, title end, id 0, title SPOTLIGHT",2021-12-23T084456.275+0100,2021-12-05T082825.714+0100,Rerum victus ullam. Vulgaris sit canto.
"rate 2, label TWO","id None, metadata title THE WASTE LAND, pages unknown","id 0, title end, id 0, title SUNRISE A SONG OF TWO HUMANS",2021-12-03T002226.844+0100,2021-12-11T182844.357+0100,Commodi omnis spiritus. Maiores acceptus labore.
"rate 1, label ONE","id None, metadata title THE LINE OF BEAUTY, pages unknown","id 0, title L.A. CONFIDENTIAL, id 0, title end",2021-12-01T032431.313+0100,2021-12-10T102007.960+0100,Sono capitulus angustus. Saepe defero veniam.
"rate 4, label FOUR","id None, metadata title THE LAST TEMPTATION, pages unknown","id 0, title end, id 0, title LOCK, STOCK AND TWO SMOKING BARRELS",2021-12-29T101714.170+0100,2021-12-22T172151.005+0100,Magni defero confugo. Deprimo carcer admiratio.
"rate 1, label ONE","id None, metadata title CARRION COMFORT, pages unknown","id 0, title end, id 0, title THE LIVES OF OTHERS",2021-12-26T064843.317+0100,2021-12-17T043638.905+0100,Vitium alienus cupiditas. Abscido nulla vado.
"rate 4, label FOUR","id None, metadata title THE MAN WITHIN, pages unknown","id 0, title THE USUAL SUSPECTS, id 0, title end",2021-12-03T081917.376+0100,2021-12-28T014331.846+0100,Deorsum cinis tredecim. Super demo tum.
"rate 4, label FOUR","id None, metadata title MANY WATERS, pages unknown","id 0, title HOW TO TRAIN YOUR DRAGON, id 0, title end",2021-12-27T182459.271+0100,2021-12-22T025550.168+0100,Adamo caput eos. Depromo est ullam.
"rate 5, label FIVE","id None, metadata title CARRION COMFORT, pages unknown","id 0, title end, id 0, title BEFORE SUNRISE",2021-12-01T040051.470+0100,2021-12-05T120028.740+0100,Torqueo ut et. Cras crebro uter.
"rate 5, label FIVE","id None, metadata title AN EVIL CRADLING, pages unknown","id 0, title end, id 0, title PLATOON",2021-12-06T141139.894+0100,2021-12-20T180316.691+0100,Aggredior auctus vaco. Dignissimos absens neque.
"rate 4, label FOUR","id None, metadata title ALONE ON A WIDE, WIDE SEA, pages unknown","id 0, title end, id 0, title JURASSIC PARK",2021-12-27T214944.496+0100,2021-12-28T062850.731+0100,Vacuus thesaurus trans. Corona cognomen curso.
"rate 2, label TWO","id None, metadata title ALONE ON A WIDE, WIDE SEA, pages unknown","id 0, title end, id 0, title DEAD POETS SOCIETY",2021-12-24T063339.237+0100,2021-12-08T105700.787+0100,Decumbo tui sublime. Qui currus attonbitus.
"rate 5, label FIVE","id None, metadata title THE LAST TEMPTATION, pages unknown","id 0, title end, id 0, title TOY STORY 3",2021-12-18T140226.513+0100,2021-12-01T200453.248+0100,Quaerat thalassinus vulticulus. Vigor uxor est.
"rate 4, label FOUR","id None, metadata title IF I FORGET THEE JERUSALEM, pages unknown","id 0, title end, id 0, title TOY STORY 2",2021-12-01T231510.203+0100,2021-12-05T122934.452+0100,Abeo vix casso. Voco comedo arceo.
"rate 1, label ONE","id None, metadata title SURPRISED BY JOY, pages unknown","id 0, title end, id 0, title GONE WITH THE WIND",2021-12-03T090325.915+0100,2021-12-05T030707.900+0100,Villa clam vapulus. Quis textilis subnecto.
"rate 4, label FOUR","id None, metadata title WAITING FOR THE BARBARIANS, pages unknown","id 0, title THE GODFATHER, id 0, title end",2021-12-11T100442.426+0100,2021-12-29T151846.342+0100,Sumptus tabgo cervus. Decens adhaero administratio.
"rate 2, label TWO","id None, metadata title THE WEALTH OF NATIONS, pages unknown","id 0, title RUSH, id 0, title end",2021-12-08T065524.403+0100,2021-12-23T130057.431+0100,Curvo creta capitulus. Arcus vestrum aperte.
"rate 3, label THREE","id None, metadata title FAME IS THE SPUR, pages unknown","id 0, title end, id 0, title STALKER",2021-12-12T104339.094+0100,2021-12-09T230616.344+0100,Triduana aut vero. Appello addo tubineus.
"rate 2, label TWO","id None, metadata title WHERE ANGELS FEAR TO TREAD, pages unknown","id 0, title end, id 0, title STAR WARS EPISODE VIII – THE LAST JEDI",2021-12-12T110309.528+0100,2021-12-17T111209.605+0100,Acervus pecto coerceo. Aspernatur terga decor.
"rate 5, label FIVE","id None, metadata title CARRION COMFORT, pages unknown","id 0, title TO KILL A MOCKINGBIRD, id 0, title end",2021-12-07T111923.782+0100,2021-12-01T182255.178+0100,Ventito carpo vero. Certus aegrotatio spiritus.
"rate 2, label TWO","id None, metadata title TENDER IS THE NIGHT, pages unknown","id 0, title end, id 0, title PLATOON",2021-12-25T151733.793+0100,2021-12-01T005840.517+0100,Corona aptus vulariter. Conscendo qui causa.
"rate 2, label TWO","id None, metadata title BURY MY HEART AT WOUNDED KNEE, pages unknown","id 0, title IT HAPPENED ONE NIGHT, id 0, title end",2021-12-23T172659.318+0100,2021-12-06T183554.301+0100,Ter aqua vestrum. Vita labore agnosco.
"rate 1, label ONE","id None, metadata title THE WORLD, THE FLESH AND THE DEVIL, pages unknown","id 0, title end, id 0, title ONCE UPON A TIME IN AMERICA",2021-12-22T191623.374+0100,2021-12-24T130639.027+0100,Cruentus ex varietas. Thermae vulpes pax.
"rate 1, label ONE","id None, metadata title ENDLESS NIGHT, pages unknown","id 0, title end, id 0, title SOME LIKE IT HOT",2021-12-24T093830.402+0100,2021-12-01T103951.384+0100,Taedium aqua tamen. Taceo aegre adiuvo.
"rate 1, label ONE","id None, metadata title THINGS FALL APART, pages unknown","id 0, title CASABLANCA, id 0, title end",2021-12-09T030408.342+0100,2021-12-23T213617.208+0100,Ventosus nisi adfero. Magni bos civitas.
"rate 2, label TWO","id None, metadata title BLITHE SPIRIT, pages unknown","id 0, title COOL HAND LUKE, id 0, title end",2021-12-27T105830.314+0100,2021-12-25T180922.550+0100,Paens succedo deludo. Desparatus tum cado.
"rate 4, label FOUR","id None, metadata title THE WORLD, THE FLESH AND THE DEVIL, pages unknown","id 0, title end, id 0, title V FOR VENDETTA",2021-12-19T153052.278+0100,2021-12-16T053323.529+0100,Odit necessitatibus succedo. Et desino stipes.
"rate 2, label TWO","id None, metadata title GONE WITH THE WIND, pages unknown","id 0, title end, id 0, title BLADE RUNNER",2021-12-29T193030.164+0100,2021-12-12T205059.177+0100,Amissio nesciunt quisquam. Angelus torrens adamo.
"rate 4, label FOUR","id None, metadata title THINGS FALL APART, pages unknown","id 0, title end, id 0, title DEAD POETS SOCIETY",2021-12-26T160346.982+0100,2021-12-05T175337.251+0100,Minima cursus stabilis. Cervus curtus temptatio.
"rate 3, label THREE","id None, metadata title THE MONKEYS RAINCOAT, pages unknown","id 0, title end, id 0, title STALKER",2021-12-01T094515.158+0100,2021-12-24T004942.556+0100,Repellat tristis suppono. Angelus testimonium repellat.
"rate 2, label TWO","id None, metadata title TENDER IS THE NIGHT, pages unknown","id 0, title end, id 0, title A BEAUTIFUL MIND",2021-12-23T111749.339+0100,2021-12-19T062139.003+0100,Aedificium est cur. Uterque cupiditate cupressus.
"rate 3, label THREE","id None, metadata title THE PARLIAMENT OF MAN, pages unknown","id 0, title end, id 0, title SUNRISE A SONG OF TWO HUMANS",2021-12-17T131249.744+0100,2021-12-29T165035.742+0100,Desipio perferendis cum. Tepidus arbor veritatis.
"rate 5, label FIVE","id None, metadata title IN DEATH GROUND, pages unknown","id 0, title GRAN TORINO, id 0, title end",2021-12-24T233119.181+0100,2021-12-24T133539.718+0100,Repellendus super carbo. Trans cohibeo paens.
"rate 4, label FOUR","id None, metadata title ARMS AND THE MAN, pages unknown","id 0, title end, id 0, title STALKER",2021-12-06T220531.574+0100,2021-12-08T201912.875+0100,Bibo volo ceno. Vultuosus qui admoneo.
"rate 2, label TWO","id None, metadata title HAVE HIS CARCASE, pages unknown","id 0, title end, id 0, title INTERSTELLAR",2021-12-08T083533.974+0100,2021-12-02T220850.224+0100,Vulgo stipes paulatim. Decumbo alias timor.
